*****Sonar Placement GA Expirement*****
Start Time: 2018-01-03 09:07:22.221348
Rand_seed:7
End Time: 2018-01-04 04:38:03.534168
Running Time: 19:30:37.906538
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: transient
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 11.280061089, 6, 0.018, 0.121, 48, 0.044, 0.132, 42, 0.08, -0.101, -42, 0.018, -0.121, -48, 0.044, -0.132, -42, 0.08, 0.101, 42,  , , ,  , , ,  , , ,  , , , 
0, 2, 9.68078298195, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, -0.135, -80, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, 0.135, 80, 
0, 3, 8.17924178384, 8, 0.229, 0.006, -23, 0.215, 0.149, 89, 0.152, -0.142, -64, 0.134, 0.139, 61, 0.229, -0.006, 23, 0.215, -0.149, -89, 0.152, 0.143, 64, 0.134, -0.138, -61,  , , ,  , , , 
0, 4, 6.12769931826, 10, 0.235, 0.02, -5, 0.168, -0.102, -64, 0.203, 0.135, 35, 0.242, -0.136, -38, 0.201, 0.123, 84, 0.235, -0.02, 5, 0.168, 0.103, 64, 0.203, -0.135, -35, 0.242, 0.136, 38, 0.201, -0.123, -84, 
0, 5, 8.277129949, 2, 0.154, 0.107, 78, 0.154, -0.106, -78,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 6, 8.14720441324, 4, 0.204, -0.128, -55, 0.241, -0.106, -28, 0.204, 0.128, 55, 0.241, 0.107, 28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 7, 8.04447335274, 6, 0.245, 0.092, 21, 0.046, 0.112, 66, 0.052, -0.15, -61, 0.245, -0.092, -21, 0.046, -0.111, -66, 0.052, 0.15, 61,  , , ,  , , ,  , , ,  , , , 
0, 8, 12.9556105786, 4, 0.192, -0.115, -66, 0.234, 0.103, 10, 0.192, 0.116, 66, 0.234, -0.102, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 9, 3.80837564056, 8, 0.24, -0.131, -40, 0.128, 0.103, 87, 0.208, -0.032, 27, 0.03, 0.105, 72, 0.24, 0.131, 40, 0.128, -0.103, -87, 0.208, 0.032, -27, 0.03, -0.105, -72,  , , ,  , , , 
