*****Sonar Placement GA Expirement*****
Start Time: 2018-01-02 09:25:38.589383
Rand_seed:16
End Time: 2018-01-03 01:07:37.812009
Running Time: 15:41:57.325240
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 3.98120347345, 4, 0.084, -0.128, -60, 0.213, 0.132, 99, 0.084, 0.128, 60, 0.213, -0.132, -99,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 2, 9.29697201594, 10, 0.201, 0.123, 37, 0.211, -0.038, 15, 0.217, 0.121, 36, 0.215, -0.148, -98, 0.24, -0.124, -23, 0.201, -0.123, -37, 0.211, 0.038, -15, 0.217, -0.121, -36, 0.215, 0.148, 98, 0.24, 0.124, 23, 
0, 3, 4.5200354979, 2, 0.223, -0.088, -12, 0.223, 0.088, 12,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 4, 11.0405317187, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, -73, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, 73,  , , ,  , , , 
0, 5, 8.57653744466, 6, 0.226, 0.092, -17, 0.241, 0.112, 90, 0.024, 0.1, 59, 0.226, -0.092, 17, 0.241, -0.111, -90, 0.024, -0.1, -59,  , , ,  , , ,  , , ,  , , , 
0, 6, 5.76625769566, 10, 0.138, 0.147, 51, 0.128, 0.113, 81, 0.106, 0.146, 85, 0.078, 0.102, 67, 0.223, 0.102, 97, 0.138, -0.147, -51, 0.128, -0.112, -81, 0.106, -0.146, -85, 0.078, -0.101, -67, 0.223, -0.101, -97, 
0, 7, 3.96643841881, 2, 0.247, 0.125, 90, 0.247, -0.125, -90,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 8, 7.69743979508, 4, 0.02, -0.144, -62, 0.212, -0.105, -88, 0.02, 0.145, 62, 0.212, 0.106, 88,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 9, 15.3448209438, 6, 0.209, 0.034, -20, 0.211, -0.129, -2, 0.215, -0.076, 26, 0.209, -0.034, 20, 0.211, 0.129, 2, 0.215, 0.076, -26,  , , ,  , , ,  , , ,  , , , 
0, 10, 11.1053506921, 10, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.162, -0.113, -42, 0.209, 0.042, 6, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.162, 0.114, 42, 0.209, -0.042, -6, 
0, 11, 8.29230159044, 4, 0.223, 0.044, -8, 0.22, 0.024, 27, 0.223, -0.044, 8, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 12, 3.79061631921, 10, 0.126, 0.107, 42, 0.211, 0.125, 15, 0.233, -0.118, -74, 0.226, -0.119, -80, 0.044, -0.121, -57, 0.126, -0.107, -42, 0.211, -0.125, -15, 0.233, 0.118, 74, 0.226, 0.119, 80, 0.044, 0.121, 57, 
0, 13, 6.3938207202, 8, 0.246, 0.105, 98, 0.237, -0.1, -82, 0.208, -0.141, -61, 0.206, 0.148, 77, 0.246, -0.105, -98, 0.237, 0.1, 82, 0.208, 0.141, 61, 0.206, -0.147, -77,  , , ,  , , , 
