*****Sonar Placement GA Expirement*****
Start Time: 2017-12-28 16:36:15.007769
Rand_seed:7
End Time: 2017-12-28 16:36:26.395183
Running Time: 0:00:10.405544
Population size:30
Generation Count:10
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: transient
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 0.9772513329, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 2.10395306019, 6, 0.018, 0.121, 48, 0.044, 0.132, 42, 0.08, -0.101, -42, 0.018, -0.121, -48, 0.044, -0.132, -42, 0.08, 0.101, 42,  , , ,  , , ,  , , ,  , , , 
0, 2, 0.0, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, -0.135, -80, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, 0.135, 80, 
0, 3, 1.28475311161, 8, 0.229, 0.006, -23, 0.215, 0.149, 89, 0.152, -0.142, -64, 0.134, 0.139, 61, 0.229, -0.006, 23, 0.215, -0.149, -89, 0.152, 0.143, 64, 0.134, -0.138, -61,  , , ,  , , , 
0, 4, 0.0, 10, 0.235, 0.02, -5, 0.168, -0.102, -64, 0.203, 0.135, 35, 0.242, -0.136, -38, 0.201, 0.123, 84, 0.235, -0.02, 5, 0.168, 0.103, 64, 0.203, -0.135, -35, 0.242, 0.136, 38, 0.201, -0.123, -84, 
0, 5, 3.22907249879, 2, 0.154, 0.107, 78, 0.154, -0.106, -78,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 6, 1.32564765382, 4, 0.204, -0.128, -55, 0.241, -0.106, -28, 0.204, 0.128, 55, 0.241, 0.107, 28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 7, 2.3637163782, 6, 0.245, 0.092, 21, 0.046, 0.112, 66, 0.052, -0.15, -61, 0.245, -0.092, -21, 0.046, -0.111, -66, 0.052, 0.15, 61,  , , ,  , , ,  , , ,  , , , 
0, 8, 1.26554986363, 4, 0.192, -0.115, -66, 0.234, 0.103, 10, 0.192, 0.116, 66, 0.234, -0.102, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 9, 2.33385526185, 8, 0.24, -0.131, -40, 0.128, 0.103, 87, 0.208, -0.032, 27, 0.03, 0.105, 72, 0.24, 0.131, 40, 0.128, -0.103, -87, 0.208, 0.032, -27, 0.03, -0.105, -72,  , , ,  , , , 
0, 10, 1.69864954798, 2, 0.231, -0.142, -25, 0.231, 0.143, 25,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 11, 1.69861274689, 4, 0.206, 0.07, -30, 0.096, -0.146, -45, 0.206, -0.07, 30, 0.096, 0.146, 45,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 12, 2.13118903889, 4, 0.242, -0.068, 29, 0.227, -0.143, -54, 0.242, 0.068, -29, 0.227, 0.143, 54,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 13, 2.79468501132, 2, 0.196, -0.106, -75, 0.196, 0.107, 75,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 14, 2.87850582372, 4, 0.208, 0.054, -2, 0.217, 0.111, 19, 0.208, -0.054, 2, 0.217, -0.111, -19,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 15, 1.0710719674, 10, 0.241, -0.109, -74, 0.226, -0.03, 29, 0.056, 0.113, 55, 0.223, -0.103, -99, 0.218, -0.139, -22, 0.241, 0.109, 74, 0.226, 0.03, -29, 0.056, -0.113, -55, 0.223, 0.103, 99, 0.218, 0.139, 22, 
0, 16, 2.03551688392, 2, 0.232, 0.08, -21, 0.232, -0.08, 21,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 17, 1.60416079927, 6, 0.24, 0.104, 34, 0.24, -0.112, -48, 0.158, 0.117, 50, 0.24, -0.104, -34, 0.24, 0.113, 48, 0.158, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
0, 18, 1.62124282719, 10, 0.22, 0.09, -14, 0.024, 0.108, 44, 0.207, -0.108, -99, 0.217, 0.128, 87, 0.196, 0.133, 64, 0.22, -0.09, 14, 0.024, -0.107, -44, 0.207, 0.109, 99, 0.217, -0.128, -87, 0.196, -0.133, -64, 
0, 19, 0.0, 10, 0.176, -0.108, -50, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.184, -0.125, -67, 0.176, 0.109, 50, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.184, 0.125, 67, 
0, 20, 1.83019982847, 6, 0.088, 0.109, 90, 0.209, 0.123, 27, 0.064, -0.124, -68, 0.088, -0.109, -90, 0.209, -0.123, -27, 0.064, 0.124, 68,  , , ,  , , ,  , , ,  , , , 
0, 21, 0.0, 8, 0.112, 0.113, 76, 0.226, 0.128, 24, 0.222, -0.119, -51, 0.138, -0.128, -67, 0.112, -0.112, -76, 0.226, -0.128, -24, 0.222, 0.12, 51, 0.138, 0.128, 67,  , , ,  , , , 
0, 22, 0.567465849139, 6, 0.235, -0.106, -95, 0.228, 0.09, -21, 0.024, 0.122, 87, 0.235, 0.106, 95, 0.228, -0.09, 21, 0.024, -0.122, -87,  , , ,  , , ,  , , ,  , , , 
0, 23, 1.41009102263, 4, 0.134, 0.14, 45, 0.144, 0.133, 83, 0.134, -0.139, -45, 0.144, -0.133, -83,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
