*****Sonar Placement GA Expirement*****
Start Time: 2017-10-17 21:43:03.559460
Rand_seed:8
End Time: 2017-10-19 00:48:15.129278
Running Time: 1 day, 3:04:25.003587
Population size:40
Generation Count:60
Mutation Probability:0.2
Cross Over Probability:0.35
***** Constraints *****
Max Number of Sensors: 1
X Position: [0, 0.25]
Y Position: [-0.15, 0.15]
Z Orient: [-90, 90]
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, 
0, 0, 11.8370498067, 1, 0.25, 0, 0, 
0, 1, 6.31632926877, 1, 0.057, 0.139, -68.0, 
0, 2, 11.6686082282, 1, 0.176, -0.124, -46.0, 
0, 3, 13.151924115, 1, 0.25, -0.087, 26.0, 
0, 4, 11.4785227142, 1, 0.115, -0.014, -1.0, 
0, 5, 9.36808171279, 1, 0.048, 0.099, -74.0, 
0, 6, 11.8500186227, 1, 0.059, -0.144, -42.0, 
0, 7, 14.3639095342, 1, 0.102, 0.121, -22.0, 
0, 8, 5.78621090167, 1, 0.028, -0.072, 89.0, 
0, 9, 12.3823400008, 1, 0.016, 0.036, -22.0, 
0, 10, 11.2252614971, 1, 0.165, -0.048, 35.0, 
0, 11, 7.3298653911, 1, 0.124, 0.045, 73.0, 
0, 12, 7.38731255402, 1, 0.145, -0.107, -79.0, 
0, 13, 9.51152030895, 1, 0.237, -0.003, -55.0, 
0, 14, 10.1295376733, 1, 0.237, 0.024, 41.0, 
0, 15, 14.9376680525, 1, 0.22, -0.064, -26.0, 
0, 16, 11.1563176738, 1, 0.22, -0.11, 48.0, 
0, 17, 12.34997996, 1, 0.024, 0.057, 37.0, 
0, 18, 6.43720762635, 1, 0.237, 0.103, 1.0, 
0, 19, 5.87750467378, 1, 0.049, -0.105, 5.0, 
0, 20, 7.33157757648, 1, 0.127, -0.129, 73.0, 
0, 21, 9.49875231523, 1, 0.127, 0.06, -51.0, 
0, 22, 12.4573126913, 1, 0.061, -0.146, -28.0, 
0, 23, 13.6603130959, 1, 0.067, -0.023, -22.0, 
0, 24, 11.0483945764, 1, 0.209, 0.117, -59.0, 
0, 25, 12.1089146681, 1, 0.099, -0.1, 30.0, 
0, 26, 13.1286365594, 1, 0.244, -0.089, 48.0, 
0, 27, 11.2628940186, 1, 0.075, -0.146, 48.0, 
0, 28, 13.2152837103, 1, 0.085, -0.099, -12.0, 
0, 29, 9.23727057015, 1, 0.058, -0.027, -10.0, 
0, 30, 11.8420896743, 1, 0.104, 0.027, -38.0, 
0, 31, 6.93672160372, 1, 0.024, -0.124, -71.0, 
0, 32, 10.0030749572, 1, 0.13, -0.042, 56.0, 
0, 33, 5.78734812138, 1, 0.126, 0.062, 87.0, 
0, 34, 7.95408988023, 1, 0.016, -0.145, -65.0, 
0, 35, 10.9059788155, 1, 0.097, 0.022, 44.0, 
0, 36, 6.57420280437, 1, 0.088, 0.139, -90.0, 
0, 37, 8.00915950353, 1, 0.209, -0.087, 68.0, 
0, 38, 10.0661463915, 1, 0.008, 0.14, 47.0, 
0, 39, 11.2179327521, 1, 0.248, 0.024, -58.0, 
1, 15, 14.9376680525, 1, 0.22, -0.064, -26.0, 
1, 40, 12.34997996, 1, 0.024, 0.057, 37.0, 
1, 41, 13.151924115, 1, 0.25, -0.087, 26.0, 
1, 42, 6.43720762635, 1, 0.237, 0.103, 1.0, 
1, 43, 11.8500186227, 1, 0.059, -0.144, -42.0, 
1, 44, 13.6603130959, 1, 0.067, -0.023, -22.0, 
1, 45, 12.34997996, 1, 0.024, 0.057, 37.0, 
1, 46, 13.2152837103, 1, 0.085, -0.099, -12.0, 
1, 47, 14.9376680525, 1, 0.22, -0.064, -26.0, 
1, 48, 12.3823400008, 1, 0.016, 0.036, -22.0, 
1, 49, 14.3639095342, 1, 0.102, 0.121, -22.0, 
1, 50, 11.4785227142, 1, 0.115, -0.014, -1.0, 
1, 51, 13.2152837103, 1, 0.085, -0.099, -12.0, 
1, 52, 11.8370498067, 1, 0.25, 0, 0, 
1, 53, 13.151924115, 1, 0.25, -0.087, 26.0, 
1, 54, 11.8420896743, 1, 0.104, 0.027, -38.0, 
1, 55, 13.2152837103, 1, 0.085, -0.099, -12.0, 
1, 56, 12.3823400008, 1, 0.016, 0.036, -22.0, 
1, 57, 9.49875231523, 1, 0.127, 0.06, -51.0, 
1, 58, 12.1089146681, 1, 0.099, -0.1, 30.0, 
1, 59, 11.0483945764, 1, 0.209, 0.117, -59.0, 
1, 60, 9.23727057015, 1, 0.058, -0.027, -10.0, 
1, 61, 11.2179327521, 1, 0.248, 0.024, -58.0, 
1, 62, 9.49875231523, 1, 0.127, 0.06, -51.0, 
1, 63, 11.0863969953, 1, 0.248, 0.056, -58.0, 
1, 64, 7.34260858964, 1, 0.209, 0.111, 68.0, 
1, 65, 12.1089146681, 1, 0.099, -0.1, 30.0, 
1, 66, 10.0661463915, 1, 0.008, 0.14, 47.0, 
1, 67, 7.33007361091, 1, 0.124, 0.11, 73.0, 
1, 68, 14.3639095342, 1, 0.102, 0.121, -22.0, 
1, 69, 10.0661463915, 1, 0.008, 0.14, 47.0, 
1, 70, 8.04781095065, 1, 0.145, -0.107, 65.0, 
1, 71, 11.0483945764, 1, 0.209, 0.117, -59.0, 
1, 72, 11.2628940186, 1, 0.075, -0.146, 48.0, 
1, 73, 10.0030749572, 1, 0.13, -0.042, 56.0, 
1, 74, 11.0483945764, 1, 0.209, 0.117, -59.0, 
1, 75, 12.34997996, 1, 0.024, 0.057, 37.0, 
1, 76, 9.49875231523, 1, 0.127, 0.06, -51.0, 
1, 77, 11.6686082282, 1, 0.176, -0.124, -46.0, 
1, 78, 11.2252614971, 1, 0.165, -0.048, 35.0, 
2, 63, 11.0863969953, 1, 0.248, 0.056, -58.0, 
