Fitness,ID,NumberOfSonar,S10_O,S10_P_X,S10_P_Y,S1_O,S1_P_X,S1_P_Y,S2_O,S2_P_X,S2_P_Y,S3_O,S3_P_X,S3_P_Y,S4_O,S4_P_X,S4_P_Y,S5_O,S5_P_X,S5_P_Y,S6_O,S6_P_X,S6_P_Y,S7_O,S7_P_X,S7_P_Y,S8_O,S8_P_X,S8_P_Y,S9_O,S9_P_X,S9_P_Y
4.34954221652,log_1,2,NaN,NaN,NaN,74,0.196,-0.106,-74,0.196,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.23027674666,log_2,2,NaN,NaN,NaN,74,0.196,-0.106,-74,0.196,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.82480230395,log_3,2,NaN,NaN,NaN,-30,0.21,0.022,30,0.21,-0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.56579656848,log_4,2,NaN,NaN,NaN,-30,0.21,0.07,30,0.21,-0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5472076249,log_5,4,NaN,NaN,NaN,-75,0.196,-0.106,19,0.217,0.111,75,0.196,0.107,-19,0.217,-0.111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.40607658513,log_6,2,NaN,NaN,NaN,74,0.196,-0.106,-74,0.196,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.13313267731,log_7,2,NaN,NaN,NaN,21,0.245,0.092,-21,0.245,-0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.04867528957,log_8,2,NaN,NaN,NaN,21,0.245,0.092,-21,0.245,-0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.94418273963,log_9,2,NaN,NaN,NaN,74,0.196,-0.106,-74,0.196,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.41486849411,log_10,2,NaN,NaN,NaN,-75,0.196,-0.106,75,0.196,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
