*****Rover GA expirement*****
Date:2017-08-23 22:09:34.020693
Population size:30
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 0, 55, 45, 73, 0.0320119769486, 0.36980421665, 2.47620341143, 1.0
0, 1, 372, 82, 51, 0.493598880608, 1.77889069071, 0.754770261632, 6.53608942719
0, 2, 202, 57, 17, 4.37663931772, 1.10510574182, 5.93382256362, 1.0
0, 3, 284, 66, 51, 2.10368019572, 1.28277219183, 1.95388819965, 6.57963751563
0, 4, 256, 28, 77, 1.7142927951, 1.34209679898, 9.6142499757, 6.52392797266
0, 5, 136, 85, 23, 0.146754664945, 2.65175258386, 7.88880128629, 1.0
0, 6, 94, 91, 7, 2.96308196759, 3.83378758261, 4.62617392415, 1.0
0, 7, 222, 87, 23, 1.20750662082, 0.831704600348, 6.04947638457, 6.61334167361
0, 8, 398, 84, 17, 2.03641075141, 1.1080082923, 6.86088672795, 1.0
0, 9, 300, 82, 37, 2.45227353436, 0.170478162598, 0.0903217225723, 6.6257839324
0, 10, 363, 19, 67, 2.93051999025, 2.54736306791, 8.15547889079, 1.0
0, 11, 116, 3, 9, 0.344800147206, 2.64336316117, 2.95315034966, 1.77768889
0, 12, 368, 97, 79, 4.93505915207, 3.85574796829, 0.621684230171, 1.0
0, 13, 99, 66, 27, 4.916790972, 0.585206273793, 5.1142552185, 1.0
0, 14, 173, 79, 9, 1.15228776582, 3.4233859419, 2.64806382352, 6.56386812674
0, 15, 245, 43, 1, 4.5567178363, 2.64707395379, 4.31451249376, 1.0
0, 16, 194, 50, 95, 3.41754991163, 4.24949006367, 6.30017251992, 1.77768889
0, 17, 111, 68, 17, 1.70300339776, 2.16376688424, 6.26047937721, 1.0
0, 18, 370, 56, 89, 1.39218813038, 3.78856823129, 6.00904860451, 1.0
0, 19, 93, 1, 43, 1.44736857155, 1.74722743555, 5.48346102754, 1.0
0, 20, 201, 48, 69, 3.38774962931, 3.93845355601, 9.49001001308, 6.48426852441
0, 21, 130, 66, 13, 3.96857973325, 0.115080025207, 6.43159996306, 1.77768889
0, 22, 78, 93, 11, 2.41529347171, 3.16961302562, 7.83084576923, 1.0
0, 23, 126, 44, 73, 2.98579611304, 2.94263573841, 1.54167252562, 1.0
0, 24, 265, 42, 93, 2.78766302877, 2.1085664143, 8.03139382904, 6.48505666504
