*****Rover GA expirement*****
Date:2017-07-31 11:41:17.617689
Population size:5
Generation Count:5
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 0, 87, 27, 19, 4.05607580085, 4.77377983433, 1.82847538262, 1.0
0, 1, 215, 21, 7, 0.969376953237, 2.56528554543, 7.58614756861, 6.85004737674
0, 2, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
0, 3, 253, 38, 87, 4.43467797922, 1.91756002185, 8.62316715063, 1.0
0, 4, 339, 8, 15, 1.25739020329, 4.58252181027, 1.3424377555, 1.0
1, 1, 215, 21, 7, 0.969376953237, 2.56528554543, 7.58614756861, 6.8594105421
1, 5, 286, 27, 19, 4.05607580085, 4.77377983433, 1.82847538262, 1.77768889
1, 6, 253, 38, 87, 4.43467797922, 1.91756002185, 8.62316715063, 1.0
1, 7, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
1, 8, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
2, 1, 215, 21, 7, 0.969376953237, 2.56528554543, 7.58614756861, 1.0
2, 9, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
2, 10, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
2, 11, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
2, 12, 211, 83, 9, 3.1397177799, 0.0750907894437, 2.44263686084, 1.0
3, 1, 215, 21, 7, 0.969376953237, 2.56528554543, 7.58614756861, 1.0
3, 13, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
3, 14, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
3, 15, 367, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.77768889
3, 16, 215, 21, 7, 0.969376953237, 2.56528554543, 7.58614756861, 1.0
4, 15, 367, 83, 9, 0.969376953237, 2.56528554543, 7.58614756861, 1.77768889
4, 17, 211, 83, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
4, 18, 215, 21, 9, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
4, 19, 211, 83, 7, 0.969376953237, 2.56528554543, 7.58614756861, 1.0
4, 20, 215, 21, 7, 3.1397177799, 0.0532869942406, 2.44263686084, 1.0
