*****Rover GA expirement*****
Date:2017-06-29 10:28:13.768483
Population size:50
Generation Count:50
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 0, 57, 96, 97, 0.655556548657, 2.39721015292, 5.40012557239, inf
0, 1, 321, 3, 27, 1.93442642451, 4.12748823783, 8.7558824154, inf
0, 2, 167, 42, 99, 4.79426525189, 3.94554717376, 5.60995786044, inf
0, 3, 308, 75, 67, 2.34713365679, 1.64042372313, 3.18666225694, inf
0, 4, 251, 69, 21, 1.17208844639, 2.20218969726, 6.25937561257, -3
0, 5, 131, 43, 67, 1.7097452532, 3.92948585252, 6.84052981374, inf
0, 6, 250, 90, 31, 4.57808441046, 1.26292508618, 2.25040102094, -3
0, 7, 154, 24, 3, 3.51263971572, 3.84561899283, 9.47266291312, -3
0, 8, 247, 68, 81, 0.868295643778, 1.26693007794, 6.00536024606, 106.365
0, 9, 270, 42, 5, 1.51933339762, 3.37167911852, 5.78499470626, 107.4625
0, 10, 173, 33, 43, 4.80694054052, 0.232567622259, 9.26817282416, 103.8325
0, 11, 312, 6, 85, 4.75847585066, 1.29468205316, 5.86391256107, inf
0, 12, 244, 28, 47, 4.93587630831, 4.48419244588, 8.48649446581, inf
0, 13, 71, 31, 99, 1.1872217016, 3.84011088456, 4.36136143283, inf
0, 14, 394, 38, 25, 2.09700651869, 4.89400269307, 8.83884358168, inf
0, 15, 235, 42, 13, 3.84984437948, 4.18595703749, 2.93494892403, inf
0, 16, 281, 31, 71, 4.74067889249, 2.76699050904, 1.57163004596, 111.165
0, 17, 270, 69, 31, 1.77032156372, 2.36855390349, 8.30459409446, 108.28
0, 18, 211, 29, 39, 0.501544933403, 4.28458112889, 8.76225766301, 110.8075
0, 19, 250, 2, 89, 3.62528412483, 1.26478797259, 4.98062189939, inf
0, 20, 97, 87, 27, 4.64338553403, 1.12768882344, 2.25868104086, inf
0, 21, 238, 47, 81, 2.64326650652, 0.701252690775, 4.60101842681, 106.825
0, 22, 299, 81, 69, 0.301384826434, 1.93537606371, 6.21127713229, 82.22
0, 23, 129, 20, 69, 3.61788543096, 3.8547925899, 3.02310332107, 103.2175
0, 24, 372, 46, 9, 0.84856500191, 3.9315008874, 8.1894857332, 99.3675
0, 25, 368, 53, 31, 0.637040318131, 0.600852530581, 6.35160544732, 80.32
0, 26, 159, 90, 13, 4.83929911036, 3.62820920159, 4.42537906679, 102.85
0, 27, 51, 15, 79, 4.74244831708, 2.84310845939, 4.05079991367, inf
0, 28, 81, 59, 57, 0.0122247118338, 0.907926800585, 8.00021433729, inf
0, 29, 70, 99, 3, 4.06117108728, 4.30139833485, 5.19163643378, inf
0, 30, 370, 51, 23, 2.15767440009, 2.19067918057, 9.62904536837, 90.105
0, 31, 264, 95, 61, 2.18434364849, 2.09072902578, 8.31016872061, 108.7925
0, 32, 203, 25, 11, 0.00366638708791, 2.47951061884, 5.19097712537, 107.73
0, 33, 217, 5, 9, 1.5672979805, 4.5784316085, 4.36837901236, inf
0, 34, 383, 10, 91, 0.968803897216, 0.894407267442, 2.85102752305, inf
0, 35, 228, 64, 29, 0.900810021035, 0.237072074798, 6.28451328643, 100.2225
0, 36, 178, 40, 63, 3.29178606285, 3.70673187373, 7.78186497594, inf
0, 37, 290, 73, 45, 2.29491550251, 0.50317102422, 7.85570431536, 105.6825
0, 38, 184, 41, 43, 0.468271214896, 0.913022456305, 0.993649752967, 104.5725
0, 39, 155, 67, 25, 1.92668588373, 0.49916405049, 7.63434899812, 103.3775
0, 40, 164, 50, 97, 3.20372862758, 2.24815314516, 3.68281268009, 103.8875
0, 41, 350, 29, 43, 1.66154310847, 2.070069617, 0.354520812175, inf
0, 42, 232, 66, 61, 1.61717676069, 1.45978075944, 5.18838276437, 104.755
0, 43, 298, 18, 57, 0.341325294838, 0.514945104136, 9.27255609234, 104.79
0, 44, 268, 85, 49, 0.71383034751, 1.23008389351, 7.84919022861, 108.71
0, 45, 392, 39, 17, 4.74445299088, 2.0709364043, 5.36952240376, 121.6075
0, 46, 169, 42, 57, 1.05757543592, 0.978083849146, 9.9693587706, 103.2525
0, 47, 262, 96, 99, 4.1006528209, 4.61390976369, 7.19399104591, 108.825
0, 48, 156, 97, 51, 2.74520000609, 3.02288412151, 7.04920325777, 103.7125
0, 49, 358, 15, 51, 0.402481134004, 1.57932252038, 4.21433102092, inf
1, 7, 394, 38, 25, 0.293084398143, 4.89400269307, 8.83884358168, 122.9575
1, 50, 368, 53, 31, 0.637040318131, 0.600852530581, 6.35160544732, inf
1, 51, 57, 96, 21, 1.17208844639, 2.20218969726, 6.25937561257, inf
1, 52, 250, 90, 31, 4.57808441046, 1.26292508618, 2.25040102094, inf
1, 53, 244, 28, 47, 4.93587630831, 4.48419244588, 8.48649446581, 108.0825
1, 54, 167, 42, 99, 4.79426525189, 3.94554717376, 5.60995786044, 103.0075
1, 55, 251, 69, 21, 1.17208844639, 2.20218969726, 6.25937561257, 106.02
1, 56, 370, 51, 13, 2.15767440009, 2.19067918057, 9.62904536837, 116.0675
1, 57, 184, 41, 43, 0.468271214896, 0.913022456305, 0.993649752967, 83.145
1, 58, 270, 42, 5, 1.51933339762, 1.64249299369, 5.78499470626, inf
1, 59, 299, 81, 69, 0.301384826434, 1.93537606371, 6.21127713229, 87.9175
1, 60, 251, 69, 97, 2.74520000609, 3.02288412151, 7.04920325777, 108.6275
1, 61, 164, 50, 97, 3.20372862758, 2.24815314516, 9.27255609234, 103.1825
1, 62, 228, 64, 29, 3.51263971572, 3.84561899283, 9.47266291312, 105.94
1, 63, 159, 90, 13, 4.83929911036, 3.62820920159, 4.42537906679, 102.875
1, 64, 299, 91, 69, 0.301384826434, 1.93537606371, 6.21127713229, 110.8075
1, 65, 232, 66, 61, 1.61717676069, 1.45978075944, 5.18838276437, 106.11
1, 66, 228, 64, 29, 0.900810021035, 0.237072074798, 6.28451328643, 102.7175
1, 67, 250, 2, 89, 0.900810021035, 0.237072074798, 6.28451328643, inf
1, 68, 270, 42, 5, 1.51933339762, 3.37167911852, 6.45815863461, 109.245
1, 69, 228, 64, 29, 0.900810021035, 0.237072074798, 6.28451328643, 102.7225
1, 70, 250, 2, 89, 3.62528412483, 1.26478797259, 4.98062189939, inf
1, 71, 299, 81, 69, 0.301384826434, 1.93537606371, 6.21127713229, 110.4525
1, 72, 270, 42, 5, 1.51933339762, 3.37167911852, 5.78499470626, inf
